amount,beneficiary_new,device_new,location_changed,transaction_count_last_hour,is_night_transaction,fraud
71221,1,1,0,6,1,1
76656,0,1,1,0,1,1
98859,1,1,0,15,0,1
57225,1,0,1,10,1,1
61361,0,0,1,0,0,0
17886,1,0,0,8,1,1
27842,1,1,1,12,1,1
33165,0,1,0,1,1,0
85315,0,0,0,7,0,0
81539,0,0,0,15,0,1
28669,1,1,1,5,0,1
40868,0,0,1,12,1,1
10061,0,0,1,3,0,0
69927,1,1,0,10,0,1
64351,0,1,1,14,0,1
23186,1,1,1,13,1,1
32277,0,1,1,7,1,1
80097,1,1,0,15,1,1
64004,0,1,1,10,1,1
92005,1,0,0,2,0,0
64138,0,1,1,14,0,1
38666,0,1,0,9,1,1
72644,1,1,1,11,1,1
40289,1,0,0,6,1,1
97470,0,0,0,15,1,1
99741,1,0,0,9,0,1
23619,1,0,0,8,0,0
72629,1,0,1,3,0,1
37368,1,1,1,10,0,1
33192,1,0,0,12,1,1
75731,0,0,0,9,0,0
15625,1,0,1,14,1,1
77239,1,1,0,3,0,1
34787,0,0,0,5,0,0
450,1,1,1,9,0,1
37862,1,1,0,7,1,1
86762,0,1,0,7,0,1
18743,0,0,0,9,1,0
16399,1,1,1,8,1,1
10643,0,1,1,8,0,1
30105,0,1,0,5,1,1
85494,1,1,0,13,1,1
61705,1,1,1,10,0,1
43328,1,1,1,12,0,1
11642,1,1,1,3,1,1
250,1,1,0,6,1,1
99248,1,1,0,6,1,1
17272,1,1,1,3,0,1
31465,0,1,0,13,0,1
14971,1,0,0,15,1,1
92559,1,1,1,15,0,1
72355,0,1,0,4,0,0
54487,1,1,0,9,1,1
76111,1,0,1,15,1,1
72440,1,1,1,6,0,1
50296,0,1,0,10,1,1
50704,0,1,0,4,1,0
57811,0,1,0,4,1,1
9907,1,1,1,12,0,1
88489,1,1,1,1,0,1
82827,1,0,0,13,0,1
58253,0,1,0,1,1,0
38552,1,1,1,4,0,1
54108,0,0,0,2,1,0
89639,0,1,0,7,1,1
60336,1,0,1,9,0,1
57998,1,1,1,8,1,1
26211,1,1,0,7,1,1
47149,1,1,0,12,1,1
74277,0,1,1,7,1,1
83542,0,1,0,3,0,0
57879,0,1,0,2,1,1
98073,1,0,0,4,1,1
65871,1,0,1,15,1,1
15195,1,0,0,7,1,1
48042,0,1,0,8,0,1
48411,1,1,1,3,0,1
3380,1,0,0,14,1,1
15392,0,0,0,9,1,0
12839,0,0,1,14,1,1
55035,0,1,0,15,1,1
4388,1,0,1,14,0,1
13122,1,1,0,12,1,1
16111,1,0,0,0,0,0
32025,0,0,0,6,0,0
43164,0,0,1,4,0,0
32953,0,0,0,4,0,0
31286,1,0,0,8,0,1
97318,1,0,0,15,1,1
67371,0,1,0,1,1,1
84423,0,0,1,12,1,1
64360,1,0,0,10,0,1
16640,1,1,1,9,1,1
79454,1,0,0,6,1,1
30049,1,1,1,12,1,1
41066,1,1,1,11,0,1
8899,0,0,0,13,0,0
17154,0,1,0,13,1,1
94610,0,1,1,11,0,1
66607,0,0,1,7,0,1
73010,1,0,1,7,1,1
81590,0,1,0,5,1,1
44641,1,0,0,4,1,0
18695,0,0,0,12,1,0
44781,0,1,1,10,0,1
20492,0,0,0,8,1,0
63756,1,1,1,6,0,1
56449,0,1,1,9,0,1
51907,0,0,0,9,0,0
33591,1,1,0,0,1,1
23128,0,1,0,11,0,1
97360,0,1,0,14,0,1
75565,1,1,1,9,0,1
2833,1,0,1,11,0,1
13975,0,1,1,2,1,1
97854,1,0,1,5,0,1
83098,0,0,1,11,0,1
13574,0,1,0,5,0,0
23318,1,1,1,10,1,1
57740,0,1,1,9,1,1
7462,1,0,1,14,1,1
7556,1,1,0,2,1,1
76164,0,1,0,10,1,1
19873,0,1,0,10,0,1
84789,0,0,0,14,1,1
68617,0,1,1,9,1,1
44450,0,1,0,10,0,1
89016,1,1,1,4,1,1
76480,0,1,1,12,0,1
93008,0,1,1,10,0,1
12349,1,1,0,11,1,1
28174,1,1,0,7,0,1
10214,1,0,0,10,0,1
49477,0,0,0,5,1,0
53952,1,0,1,9,1,1
70093,0,1,1,6,1,1
57849,1,1,1,13,0,1
79354,0,1,0,15,1,1
13546,0,1,0,5,1,1
67386,0,1,0,7,1,1
3595,1,0,1,11,0,1
10796,1,0,0,10,0,0
19242,0,0,1,15,0,0
58899,0,0,0,8,0,0
72032,1,0,1,7,1,1
6358,0,1,1,2,0,0
78315,0,0,0,9,1,0
80684,1,0,1,5,0,1
47365,0,0,1,15,0,1
49029,1,0,1,2,1,1
96168,0,1,0,1,1,1
44474,0,1,1,5,0,1
93953,1,0,1,6,0,1
5592,1,1,1,15,1,1
98835,0,1,1,1,1,1
16415,1,1,1,14,1,1
24586,1,1,1,8,0,1
10445,1,0,1,10,0,1
43081,1,1,1,13,0,1
46177,1,0,1,13,1,1
9935,1,1,0,0,0,1
88978,1,0,0,2,0,0
47567,1,0,0,14,1,1
58288,0,0,1,12,1,1
32817,0,0,0,15,1,1
15535,1,1,1,6,1,1
26337,0,0,0,14,0,0
11606,1,1,0,9,1,1
93398,0,1,0,3,0,0
31129,1,0,1,11,1,1
17109,0,0,1,12,1,1
53943,1,0,0,10,0,1
61157,1,0,0,4,1,1
7363,0,0,1,5,0,0
93073,0,1,1,2,1,1
83338,1,0,1,2,0,1
76206,0,0,1,1,0,0
6058,1,0,1,0,1,1
38067,1,1,0,12,1,1
9664,0,0,1,13,1,1
26841,1,0,1,10,1,1
17239,1,0,1,7,1,1
35158,1,0,0,3,0,0
50451,1,0,0,10,1,1
20985,1,1,1,9,1,1
11902,1,1,0,6,1,1
6724,1,1,1,9,0,1
56582,0,1,1,12,1,1
52605,0,0,1,9,0,1
66193,1,1,0,4,0,1
49015,1,1,0,6,1,1
5376,0,0,0,10,1,0
59998,0,0,1,10,0,1
80905,1,1,1,9,1,1
48381,1,0,1,9,0,1
62305,1,0,0,15,0,1
82547,1,0,0,1,0,0
2582,1,1,1,4,1,1
53888,1,0,0,6,1,1
68975,1,1,0,14,1,1
46537,1,1,0,7,1,1
39224,0,1,1,6,1,1
62988,1,1,1,3,1,1
45337,0,1,0,9,0,1
58083,1,1,0,6,1,1
91348,1,0,0,7,0,1
87896,0,0,0,3,1,0
94125,1,0,0,0,0,0
85675,1,1,0,9,1,1
84759,0,0,0,1,0,0
23140,0,1,1,5,1,1
1314,1,0,1,9,1,1
68823,1,0,1,8,0,1
43443,0,1,1,5,0,1
38769,0,0,1,13,1,1
52638,0,0,0,15,1,1
995,1,1,0,14,1,1
39676,0,1,1,7,0,1
61100,1,0,1,9,0,1
48274,0,0,0,15,0,0
98107,1,1,1,6,0,1
10830,1,1,0,3,0,1
66355,0,0,0,10,1,0
89267,0,1,0,14,0,1
17394,1,1,0,14,1,1
51997,1,0,0,2,0,0
45258,0,0,0,15,0,0
53691,0,0,1,11,1,1
49579,1,0,0,11,0,1
70519,1,0,0,0,0,0
60786,1,1,0,7,1,1
20432,1,0,0,1,1,1
2150,0,0,0,3,0,0
78452,0,0,0,12,1,1
70847,0,0,0,9,0,1
41899,1,0,1,4,0,1
39487,1,0,0,13,1,1
45243,1,1,1,13,0,1
49443,0,1,0,7,1,1
60789,0,1,1,4,1,1
33522,0,1,0,14,1,1
70306,0,0,1,12,0,1
24762,0,1,0,10,1,1
27862,0,0,1,7,0,1
31469,1,1,1,14,1,1
34383,1,1,1,3,1,1
26724,1,1,1,1,0,1
2225,1,1,1,4,0,1
30249,1,0,1,10,1,1
94938,1,1,0,11,0,1
94512,1,0,0,1,0,0
936,1,0,0,2,0,0
28768,1,1,0,15,1,1
966,1,0,0,8,1,0
65926,1,0,0,3,0,0
25256,1,1,1,12,0,1
53318,1,0,0,9,0,1
12355,1,1,1,15,0,1
92223,0,0,1,13,1,1
12599,0,0,0,15,1,0
9844,1,0,0,10,0,0
77043,0,1,0,9,0,1
31619,1,1,1,4,0,1
97808,1,0,0,13,0,1
44742,1,1,0,8,1,1
30002,1,1,1,5,1,1
81183,1,0,0,2,1,1
49907,0,1,1,11,0,1
780,1,1,1,8,0,1
11542,0,1,1,13,0,1
11846,1,0,1,12,0,1
54338,1,0,0,5,1,1
18298,1,1,1,15,0,1
22016,1,1,1,9,1,1
47433,1,0,1,6,1,1
17858,1,0,1,10,1,1
57800,1,1,0,9,1,1
91233,0,1,1,5,1,1
38300,1,0,1,12,1,1
47943,0,0,0,0,1,0
57569,1,0,1,15,0,1
31822,1,0,1,12,0,1
78472,1,1,1,1,1,1
77933,0,0,0,11,0,1
5906,1,1,1,3,0,1
34013,0,0,1,11,1,1
89170,0,1,0,15,0,1
54622,0,0,0,11,1,1
59781,0,1,1,15,0,1
94733,1,1,0,9,0,1
3060,1,0,0,7,0,1
21089,1,1,1,7,1,1
24530,1,1,0,6,1,1
56402,1,0,0,6,1,1
75774,0,0,1,10,0,1
15036,1,1,1,12,1,1
15072,1,1,1,5,1,1
77454,0,0,1,3,0,0
15428,0,1,0,12,1,1
18170,1,1,0,15,0,1
21971,1,1,0,5,1,1
81287,0,1,0,15,0,1
50424,1,1,1,13,1,1
22022,0,0,0,9,0,0
29570,1,0,1,15,0,1
15069,1,1,0,14,0,1
13523,0,1,0,14,1,1
11501,1,0,0,6,1,1
83038,1,0,0,6,0,1
74820,1,1,0,10,1,1
75169,1,0,0,13,0,1
86069,0,0,0,4,1,0
99907,1,1,0,8,1,1
59343,0,0,1,8,1,1
64068,1,0,0,14,1,1
70148,1,0,1,6,1,1
42418,1,1,0,15,1,1
6121,0,1,0,3,0,0
59936,0,1,0,4,1,1
36016,0,1,1,2,1,1
6887,1,1,0,13,0,1
242,0,1,0,4,0,0
89226,1,0,0,10,0,1
91068,0,1,0,7,1,1
95882,0,0,1,11,1,1
50264,0,0,0,0,0,0
46130,0,0,1,14,0,0
13268,0,0,1,11,1,1
18427,0,1,0,7,1,0
86398,1,0,0,12,1,1
31470,1,1,0,7,1,1
9407,0,1,1,4,1,1
55263,1,0,1,2,0,1
8951,0,1,0,1,0,0
66502,1,1,1,12,0,1
70571,0,1,0,9,0,1
26733,0,1,1,2,1,1
95777,0,0,0,2,1,0
59524,0,1,0,3,0,0
92046,0,0,1,11,1,1
48841,0,1,0,0,1,0
35749,0,1,0,15,1,1
47302,0,1,0,11,0,1
13587,0,0,0,1,0,0
6126,1,1,1,4,0,1
72565,1,0,1,7,1,1
35654,0,1,0,1,0,0
67703,0,1,0,14,1,1
42999,0,1,0,11,0,1
73999,1,0,1,11,1,1
96105,0,0,0,13,0,0
71081,1,0,1,0,1,1
13724,0,0,1,15,0,0
93377,1,0,0,7,1,1
60191,0,0,0,12,0,1
74525,0,1,0,7,1,1
41388,1,1,1,14,1,1
9889,0,0,0,4,0,0
59025,1,1,1,3,1,1
59333,1,1,1,3,0,1
90022,1,0,0,10,0,1
93312,0,1,1,1,1,1
22889,0,1,1,7,0,1
13457,0,0,0,1,0,0
26069,1,1,0,8,0,1
8550,0,1,0,2,1,0
5696,1,0,0,13,1,1
3964,1,1,0,11,0,1
36142,1,1,0,1,0,1
65490,1,1,0,2,1,1
18087,1,0,0,0,1,0
62973,1,1,1,12,1,1
3516,1,0,0,8,0,0
69493,1,0,0,3,0,0
35034,0,0,1,11,0,1
31105,1,1,0,11,0,1
24772,1,1,0,15,0,1
7462,0,0,0,15,0,0
80595,0,0,1,5,1,1
2972,0,0,0,11,0,0
92445,1,0,1,9,1,1
20744,1,1,1,5,1,1
87332,0,1,1,9,0,1
95629,0,1,0,5,1,1
29053,0,1,0,10,0,1
45557,1,0,0,10,1,1
34861,0,0,0,11,1,0
94526,0,0,1,14,1,1
54366,1,1,1,12,0,1
75866,0,0,1,2,0,0
2731,1,1,0,2,1,1
49312,0,0,0,10,1,0
56634,0,1,0,1,0,0
27041,0,1,1,9,1,1
12671,0,1,1,4,0,0
600,1,0,1,15,0,1
3473,0,0,1,2,1,0
40516,1,1,1,8,0,1
50893,0,1,1,11,0,1
5948,1,1,1,8,0,1
74056,0,0,0,2,1,0
54362,0,0,1,13,1,1
30986,1,1,0,12,0,1
74970,0,0,1,5,0,1
25360,0,0,1,2,1,0
82311,0,1,1,2,0,1
73023,1,1,1,14,0,1
77114,1,0,1,4,0,1
77161,0,0,0,9,1,1
34720,1,1,1,1,0,1
52918,0,1,0,12,1,1
6560,1,1,1,0,1,1
40856,1,1,0,7,0,1
97581,1,1,1,13,0,1
57996,0,1,1,11,0,1
20936,0,1,1,4,0,1
25365,0,0,0,1,1,0
47335,0,1,1,14,1,1
89382,0,0,1,15,1,1
62304,1,1,0,8,0,1
3697,1,0,0,6,0,0
88926,0,1,1,0,0,1
17442,0,0,0,8,1,0
55649,1,1,1,8,0,1
39702,1,0,0,11,1,1
89807,0,1,0,10,1,1
36391,1,1,0,4,0,0
78747,1,1,0,0,1,1
34103,1,1,1,1,0,1
95330,0,1,1,9,0,1
23841,1,0,1,4,1,1
24095,1,0,0,11,0,1
55212,1,1,1,9,1,1
61774,0,0,1,6,0,1
69546,1,1,0,4,0,1
45014,1,1,0,10,0,1
64008,1,0,1,1,0,1
35951,0,0,0,15,0,0
80641,1,1,1,13,1,1
711,0,0,1,0,1,0
25079,0,0,0,7,1,0
16999,0,1,1,5,0,1
39185,1,1,1,13,0,1
64348,1,0,0,12,0,1
29502,0,0,0,5,0,0
93306,0,1,1,1,0,1
85764,0,0,0,13,1,1
16299,1,1,0,6,0,1
55264,0,1,0,13,0,1
94310,0,1,0,3,1,1
79923,0,1,0,11,1,1
21120,0,1,0,15,1,1
458,0,0,0,15,0,0
67170,0,0,1,7,1,1
34719,1,0,0,5,0,1
47314,1,1,0,3,0,0
18239,0,1,1,14,1,1
48940,1,0,0,12,1,1
35729,1,1,1,5,0,1
91348,0,0,0,13,1,1
89018,1,0,1,11,0,1
63418,1,0,1,14,0,1
34390,1,0,0,10,0,1
86832,0,1,1,12,0,1
80435,0,0,0,15,1,1
9912,1,1,0,10,1,1
66544,0,1,1,7,0,1
58320,1,0,1,14,1,1
65291,0,0,1,13,0,1
72071,0,0,1,6,1,1
47724,0,0,1,10,1,1
93936,1,0,0,7,0,1
46648,1,1,0,1,0,1
18508,1,0,1,6,0,1
51597,0,1,0,10,0,1
6194,0,1,1,4,1,0
69615,0,1,1,5,0,1
13673,1,1,1,13,0,1
52249,1,1,1,4,0,1
79074,1,1,0,6,0,1
93735,1,1,0,5,1,1
99816,1,1,1,9,1,1
68615,0,0,1,4,0,0
26301,1,0,1,8,0,1
90617,1,0,0,11,1,1
80854,0,1,0,9,0,1
50897,1,1,0,0,1,1
81438,1,0,1,6,0,1
58927,0,0,0,5,0,0
5426,1,1,1,4,0,1
33525,0,1,1,4,0,1
42387,0,1,1,11,0,1
68964,0,0,0,5,1,1
70490,1,0,1,7,0,1
43493,1,1,0,15,0,1
87779,1,1,0,7,0,1
50087,0,1,1,9,0,1
49246,1,1,0,9,0,1
67457,0,0,0,0,0,0
87962,0,1,0,6,1,1
97996,0,0,1,10,0,1
9700,0,0,1,2,0,0
53529,1,1,1,13,1,1
51152,0,0,0,1,0,0
66007,0,1,1,2,1,1
50092,1,0,1,5,0,1
97978,1,1,0,9,1,1
72651,0,0,0,0,1,0
71865,0,1,0,11,0,1
84763,0,0,0,7,1,1
15123,0,0,1,2,1,0
32958,0,0,1,10,1,1
88088,0,0,1,2,0,0
63782,1,1,1,4,1,1
56239,0,0,1,7,0,1
36364,1,0,1,15,1,1
47120,1,1,0,5,0,1
18450,0,1,0,2,0,0
82888,0,1,0,1,1,1
70836,1,0,1,12,0,1
96205,1,0,1,2,1,1
65920,0,0,0,4,1,0
23580,0,1,1,1,0,1
30475,0,1,1,7,0,1
67980,1,1,1,14,0,1
85103,1,0,1,8,0,1
85778,1,1,0,8,1,1
67781,1,1,1,15,1,1
964,0,1,0,7,0,1
84441,1,0,0,5,0,1
79008,0,0,1,10,0,1
88603,1,1,0,5,1,1
32038,0,0,0,4,0,0
19349,0,0,1,5,1,1
73972,0,1,0,6,1,1
61889,1,0,0,13,0,1
23939,1,0,1,14,0,1
49672,1,0,0,0,0,0
66207,1,0,0,5,1,1
78718,0,0,0,15,0,1
70785,0,1,1,11,0,1
56324,0,1,1,11,0,1
17648,1,1,0,2,1,1
71367,1,1,0,0,0,1
68590,0,0,1,6,1,1
47583,0,0,1,8,1,1
55617,1,1,1,6,1,1
73180,1,0,1,15,1,1
75813,1,1,0,3,0,1
91760,0,0,0,12,1,1
80581,0,0,1,0,0,0
61922,1,0,0,8,0,1
10590,0,1,1,9,0,1
84024,1,1,0,6,1,1
4505,0,0,0,11,0,0
20736,0,1,1,11,1,1
76918,0,0,0,2,1,0
76506,1,1,1,7,0,1
53047,0,1,0,13,0,1
9587,1,1,0,8,1,1
49524,1,0,1,14,1,1
3684,1,0,1,2,1,1
88824,0,1,1,11,0,1
32639,1,0,1,10,0,1
23494,1,1,1,6,1,1
97900,0,1,0,7,0,1
27202,0,0,0,11,0,0
15812,0,1,0,1,1,0
81452,1,1,1,15,0,1
36835,1,0,0,1,1,0
70979,0,1,1,5,1,1
91620,1,1,0,0,0,1
76253,0,1,1,8,0,1
34552,0,1,1,10,1,1
65474,1,0,1,11,1,1
36751,1,0,0,7,0,1
31007,1,1,0,4,0,1
1376,0,1,1,4,1,1
39426,1,0,1,3,0,0
28341,1,1,0,14,1,1
47412,1,1,1,0,1,1
46118,0,0,1,11,1,1
63996,1,0,1,9,1,1
22064,1,1,1,2,0,1
45139,0,1,1,9,1,1
84594,1,1,1,11,1,1
22030,0,0,0,7,1,0
27700,0,1,0,3,0,0
71984,0,0,1,2,0,0
81115,0,0,1,9,0,1
96777,1,1,0,4,0,1
4707,1,1,1,14,1,1
58406,0,0,1,13,1,1
63231,0,0,1,9,1,1
34153,0,1,0,0,0,0
37686,1,0,1,15,1,1
56518,1,0,0,11,0,1
73572,1,1,0,5,1,1
29013,1,0,1,7,1,1
85094,1,1,0,2,0,1
38057,0,1,1,8,1,1
42127,0,0,0,0,0,0
37077,1,0,1,0,0,0
19850,0,1,0,10,1,1
65425,1,1,0,10,0,1
7445,1,1,0,15,0,1
32878,1,0,0,7,1,1
32496,0,0,1,3,0,0
51103,1,1,0,1,0,1
63175,1,0,1,1,0,1
31028,1,1,0,5,1,1
15782,1,0,0,1,1,0
20415,1,0,0,5,1,1
90008,1,0,0,11,0,1
14176,0,1,0,10,1,1
96200,0,0,1,11,0,1
5275,1,1,1,15,0,1
24561,1,1,1,8,0,1
69717,0,1,1,8,1,1
194,1,0,0,11,0,0
94603,0,1,0,15,0,1
37210,1,1,1,3,0,1
86462,0,0,0,5,0,0
14131,1,0,0,1,1,0
69020,1,0,1,7,0,1
27459,1,0,1,1,1,1
97549,1,1,0,8,0,1
39933,0,0,0,3,0,0
50606,0,0,0,5,1,0
83805,1,1,1,3,0,1
72185,1,1,0,14,1,1
72200,1,1,1,13,1,1
31651,0,1,1,11,1,1
52147,0,0,1,0,0,0
960,1,0,0,10,0,0
72669,0,0,0,14,1,1
18241,1,1,0,7,1,1
12146,1,0,0,10,1,1
64099,0,1,0,12,0,1
43929,1,1,1,3,0,1
1598,1,0,1,1,1,1
74144,0,1,0,4,0,0
58507,0,0,1,9,1,1
17426,1,0,1,1,1,1
11251,1,1,0,4,1,1
26066,1,1,0,7,0,1
34998,1,1,0,3,1,1
47976,1,0,1,11,0,1
22284,1,1,0,14,0,1
26273,1,0,0,3,0,0
81496,0,1,0,10,0,1
59090,1,0,1,6,0,1
71720,1,1,0,0,1,1
87069,0,1,0,1,1,1
91395,1,0,1,0,0,1
86656,1,1,0,0,1,1
30399,1,0,1,15,0,1
26166,1,0,0,7,1,1
64316,1,0,0,11,1,1
82050,1,0,1,1,1,1
3962,1,0,0,10,1,1
11607,1,0,1,7,0,1
41044,1,1,0,6,0,1
71056,0,0,1,4,1,1
86113,0,1,0,3,0,0
19173,0,1,1,13,1,1
97828,1,0,0,3,0,0
3533,1,0,0,7,0,0
10517,1,0,1,11,0,1
64514,1,0,0,6,0,1
53654,0,1,1,7,0,1
8768,0,1,1,10,1,1
56140,1,0,1,10,1,1
97416,0,0,1,14,0,1
68087,1,0,1,1,0,1
57713,1,1,1,14,0,1
38690,0,0,1,14,0,1
14933,0,0,1,13,1,1
3365,0,1,0,14,0,0
42577,0,0,0,3,1,0
11281,1,0,1,12,0,1
44034,0,0,0,5,0,0
40478,1,1,1,5,0,1
26688,0,1,0,14,1,1
71337,0,1,0,6,1,1
53859,1,0,0,7,1,1
82496,0,0,0,4,0,0
4913,0,0,1,10,0,0
14372,1,0,0,9,0,0
98316,1,0,0,9,1,1
49768,0,1,0,9,1,1
16093,1,1,1,6,0,1
7726,0,0,1,9,1,1
41582,1,1,0,15,1,1
23680,0,1,0,0,0,0
61033,0,0,1,13,0,1
45929,0,0,0,9,1,0
40440,1,1,0,3,1,1
52010,0,0,0,10,1,1
62293,0,0,1,4,1,1
44023,1,1,0,9,1,1
70339,0,0,1,11,0,1
36860,0,1,1,5,1,1
78112,0,1,1,1,1,1
11476,1,0,1,14,1,1
68925,1,0,0,11,0,1
12237,1,0,1,4,0,0
63469,1,1,0,3,0,1
95070,0,1,1,3,0,1
5871,0,1,1,1,0,1
86474,1,0,1,6,1,1
25337,1,1,1,14,0,1
19671,0,1,0,0,0,0
71210,1,1,1,4,1,1
32189,0,0,1,10,1,1
17149,0,1,0,3,1,0
11387,1,1,0,14,1,1
43659,0,0,1,4,0,0
12848,1,1,1,15,0,1
18937,1,1,1,5,1,1
59512,1,0,0,15,0,1
62837,1,0,1,11,0,1
13591,1,0,1,2,1,1
60520,1,1,0,7,0,1
50407,0,1,0,13,1,1
44952,0,0,0,15,0,0
78228,1,1,0,14,0,1
53288,0,0,1,10,1,1
11966,0,0,0,4,0,0
69732,1,1,1,6,0,1
39386,1,1,1,2,0,1
67002,1,0,1,1,1,1
7063,0,1,0,9,0,0
56685,1,1,1,12,1,1
71549,0,0,1,4,0,1
50509,1,1,0,9,0,1
1620,0,0,0,15,1,0
11197,0,1,1,13,0,1
66870,1,1,1,11,0,1
55775,0,1,0,8,1,1
75643,1,0,0,15,1,1
76156,1,0,0,8,1,1
10354,0,0,1,2,1,0
7017,1,0,1,14,1,1
96282,1,1,1,9,1,1
4730,1,1,0,15,0,1
6865,1,0,1,15,0,1
66369,0,1,1,4,1,1
33779,0,0,0,4,1,0
23089,1,0,1,5,0,1
11162,0,0,1,13,1,1
86694,1,0,0,11,0,1
99122,0,0,0,14,1,1
39600,1,0,1,12,1,1
19125,1,0,1,14,1,1
69601,0,0,1,13,1,1
35532,1,0,1,12,1,1
96347,0,1,0,10,0,1
9006,0,1,0,3,1,0
28859,1,1,0,1,0,1
12150,0,0,0,3,0,0
17127,1,0,0,5,1,1
61304,0,1,1,13,1,1
21329,0,1,0,12,1,1
7972,1,1,0,14,0,1
26402,1,0,1,3,0,1
56625,0,0,1,8,0,1
9657,0,1,1,0,1,1
85672,0,0,1,8,0,1
51392,0,1,1,13,1,1
70895,0,0,1,15,0,1
70263,1,1,1,12,0,1
47987,1,0,1,9,0,1
72776,0,1,0,9,1,1
82756,1,1,0,14,0,1
4779,0,0,0,15,1,0
70951,1,1,1,0,0,1
7447,1,0,1,3,0,1
60179,0,0,0,1,0,0
85799,0,1,0,7,0,1
22677,0,1,0,14,0,1
8483,0,0,1,7,0,0
55964,1,1,1,3,0,1
28048,0,0,1,2,0,0
18612,1,0,1,5,1,1
76382,0,0,0,12,0,0
63927,0,0,0,5,0,1
37289,1,1,0,6,0,1
68662,1,1,0,5,0,1
23693,1,0,1,11,1,1
73200,0,0,0,3,1,0
66624,0,1,0,8,0,1
14869,0,1,1,5,0,1
7181,1,1,0,13,1,1
80947,1,0,0,1,0,0
3909,1,0,0,7,1,1
76090,1,1,0,10,0,1
42846,0,0,0,13,0,0
29022,0,1,1,1,1,1
28433,1,0,1,11,0,1
94448,0,1,1,6,1,1
4306,0,1,0,3,1,0
54917,0,1,0,9,0,1
22373,0,0,1,15,0,1
62161,1,1,0,13,0,1
42999,1,0,0,0,1,0
5350,1,0,1,12,1,1
59402,1,0,0,0,1,1
17494,1,1,0,2,0,0
87791,1,0,1,0,1,1
18269,1,0,1,14,0,1
50546,1,0,1,13,1,1
71198,0,0,1,1,1,0
14644,1,1,1,1,1,1
23072,0,0,0,10,0,0
14984,1,0,0,10,1,1
66103,1,1,0,2,1,1
59398,1,0,1,9,1,1
48353,0,0,1,2,0,0
23537,1,0,0,5,1,1
91467,0,1,0,6,0,1
54696,0,1,1,13,1,1
38309,0,0,0,7,1,0
75951,1,1,1,14,1,1
74450,0,1,0,8,0,1
48845,1,0,0,11,1,1
21905,0,1,0,5,0,1
31282,0,0,1,4,1,0
48553,0,0,0,10,1,0
48978,1,0,1,3,0,1
65559,0,1,1,4,0,1
66607,1,1,1,9,0,1
95591,1,1,0,15,0,1
88967,0,1,0,12,0,1
46944,0,1,0,6,0,1
25752,0,0,1,2,1,0
64386,1,0,1,12,0,1
48548,1,1,0,9,1,1
40481,1,0,0,14,1,1
37931,0,1,1,4,0,1
27334,1,1,1,2,1,1
967,1,1,1,5,1,1
99091,0,0,0,12,1,1
64402,0,1,1,15,1,1
3617,0,0,1,9,1,0
85796,1,1,0,15,0,1
15744,1,1,0,11,1,1
57256,1,1,0,11,0,1
21444,0,0,1,14,0,1
21505,0,1,1,13,1,1
38092,1,0,0,5,0,1
98748,0,1,1,9,1,1
12661,1,0,0,4,1,0
63656,1,1,0,3,0,1
66079,0,0,0,13,1,0
15378,0,0,1,11,1,1
